step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,142539.96875,1.3954650163650513,7.665756129426882e-06,26913.0625,0.3013972342014313,-0.009999997913837433,0.0012888340279459953
1,123828.0859375,1.2261273860931396,5.162335696695664e-07,9370.1796875,0.2782711386680603,-0.017567254602909088,0.0014238750445656478
2,106828.9140625,1.0648224353790283,1.0933339353869087e-06,804.5228271484375,0.26610898971557617,-0.02287033386528492,0.0011380829964764416
3,91570.125,0.9112968444824219,7.294074748642743e-06,1741.5009765625,0.26556310057640076,-0.028638159856200218,0.0010333340032957494
4,78324.375,0.767735481262207,1.726525260892231e-05,12717.8232421875,0.27731961011886597,-0.03595404699444771,0.0009735419880598783
5,67299.9921875,0.6361368298530579,2.8045271392329596e-05,33819.83203125,0.3015232980251312,-0.04377397522330284,0.000975458009634167
6,58599.80859375,0.5179296135902405,3.698443833854981e-05,64654.1484375,0.33773279190063477,-0.0519317090511322,0.000983749981969595
7,52229.41015625,0.4140908420085907,4.267244366928935e-05,104311.8671875,0.3848712146282196,-0.060450032353401184,0.000996040995232761
8,48092.0078125,0.32517245411872864,4.4915115722687915e-05,151291.40625,0.4411281943321228,-0.06933367252349854,0.00102583400439471
9,45977.1796875,0.2512616217136383,4.4306452764431015e-05,203427.171875,0.5038710236549377,-0.07856784760951996,0.0010274589876644313
10,45554.1015625,0.1919509619474411,4.172891567577608e-05,257852.3125,0.5695999264717102,-0.08812626451253891,0.000993124966043979
11,46377.86328125,0.14631281793117523,3.80159544874914e-05,311087.25,0.634056568145752,-0.09797528386116028,0.0009936249698512256
12,47925.54296875,0.1128997802734375,3.3817872463259846e-05,359395.21875,0.692660391330719,-0.10807567834854126,0.0010101249790750444
13,49673.42578125,0.08984461426734924,2.9594622901640832e-05,399446.8125,0.741321325302124,-0.11838357150554657,0.0009945419733412564
14,51193.41796875,0.07512460649013519,2.563905763963703e-05,429011.0625,0.7772872447967529,-0.1288515031337738,0.0009893339592963457
15,52217.12109375,0.06690263003110886,2.210037928307429e-05,447251.375,0.7995107173919678,-0.1394299417734146,0.0009819589904509485
16,52640.8125,0.06375902146100998,1.9017999875359237e-05,454545.71875,0.8084325194358826,-0.1500687450170517,0.000982041994575411
17,52488.98046875,0.06473489850759506,1.6363730537705123e-05,452083.625,0.8054910898208618,-0.16071832180023193,0.0009770420147106051
18,51866.8828125,0.06924311071634293,1.4079322681936901e-05,441485.0625,0.792655348777771,-0.17133033275604248,0.0009846250177361071
19,50919.078125,0.07693301141262054,1.2100717867724597e-05,424524.8125,0.7720873355865479,-0.18185798823833466,0.0009850420174188912
20,49798.9609375,0.08756223320960999,1.0370925338065717e-05,402957.71875,0.7459257245063782,-0.19225619733333588,0.00101125001674518
21,48648.14453125,0.10089566558599472,8.844805051921867e-06,378415.34375,0.7161599397659302,-0.2024817019701004,0.0009947079815901816
22,47583.67578125,0.11663587391376495,7.489966719731456e-06,352347.84375,0.6845563650131226,-0.21249337494373322,0.000993916008155793
23,46690.99609375,0.13438278436660767,6.285427389229881e-06,325994.625,0.6526234745979309,-0.22225268185138702,0.0009774999925866723
24,46021.3984375,0.15361827611923218,5.2191203394613694e-06,300374.5,0.6215991377830505,-0.23172438144683838,0.0009827920002862811
25,45593.0390625,0.17371122539043427,4.284952865418745e-06,276290.3125,0.5924561619758606,-0.2408774048089981,0.0009920420125126839
26,45394.69921875,0.19394008815288544,3.479640781733906e-06,254344.1875,0.5659211277961731,-0.24968567490577698,0.0009879999561235309
27,45391.5546875,0.2135285586118698,2.7996491098747356e-06,234959.203125,0.5425019264221191,-0.25812897086143494,0.0009819999686442316
28,45532.4609375,0.23169369995594025,2.2389160676539177e-06,218403.5,0.5225171446800232,-0.2661934792995453,0.000989583961199969
29,45758.08984375,0.2477036714553833,1.7876986930787098e-06,204814.171875,0.5061261057853699,-0.2738719880580902,0.0009804999572224915
30,46009.42578125,0.26094162464141846,1.4328290944831679e-06,194217.65625,0.4933547377586365,-0.28116366267204285,0.0009994999854825437
31,46235.43359375,0.2709624469280243,1.159012981588603e-06,186549.53125,0.48411989212036133,-0.28807345032691956,0.0010114579927176237
32,46398.89453125,0.27753210067749023,9.505551474831009e-07,181673.359375,0.47825291752815247,-0.2946111857891083,0.0010164999985136092
33,46479.20703125,0.28063642978668213,7.928395575618197e-07,179399.609375,0.4755229353904724,-0.30079057812690735,0.0012634159647859633
34,46472.203125,0.2804625630378723,6.732469159942411e-07,179502.234375,0.47565656900405884,-0.3066279888153076,0.0009651249856688082
35,46387.3828125,0.2773590385913849,5.814376322632597e-07,181730.671875,0.47835221886634827,-0.3121415078639984,0.0010157079668715596
36,46243.6796875,0.27178695797920227,5.092122705718793e-07,185816.4375,0.48328763246536255,-0.3173498213291168,0.001063083007466048
37,46064.8515625,0.2642703354358673,4.501733315009915e-07,191476.484375,0.4901233911514282,-0.3222714364528656,0.0010787500068545341
38,45875.1953125,0.255352646112442,3.993703501237178e-07,198413.890625,0.49850335717201233,-0.32692375779151917,0.0009750840254127979
39,45696.2578125,0.24556198716163635,3.530290655362478e-07,206319.6875,0.5080565214157104,-0.33132243156433105,0.0009539999882690609
40,45544.4921875,0.23538519442081451,3.0838307907288254e-07,214875.4375,0.5183994770050049,-0.3354806900024414,0.0009781250264495611
41,45430.1484375,0.22525106370449066,2.636120370880235e-07,223758.71875,0.5291438698768616,-0.3394087255001068,0.001181083032861352
42,45357.08203125,0.2155214548110962,2.1783287706966803e-07,232650.15625,0.5399039387702942,-0.34311315417289734,0.00113866594620049
43,45323.48828125,0.2064887285232544,1.711281214511473e-07,241242.859375,0.550308346748352,-0.3465966284275055,0.0009224999812431633
44,45323.04296875,0.1983776092529297,1.2458745857202302e-07,249252.5625,0.5600128173828125,-0.34985753893852234,0.0009004580206237733
45,45346.51171875,0.19134992361068726,8.034614751295521e-08,256428.0,0.5687125325202942,-0.35288968682289124,0.0011306250235065818
46,45383.3828125,0.18551117181777954,4.164920142102346e-08,262561.03125,0.5761545300483704,-0.35568222403526306,0.001062292023561895
47,45423.37890625,0.1809178590774536,1.2959952222502125e-08,267494.4375,0.5821477174758911,-0.35821953415870667,0.00102862500352785
48,45457.8125,0.17758439481258392,1.3672324383762202e-10,271128.03125,0.5865700244903564,-0.36048123240470886,0.001014582987409085
49,45480.31640625,0.17548875510692596,1.071060573565319e-08,273420.6875,0.5893710851669312,-0.3624422252178192,0.0009934590198099613
50,45487.40625,0.17457860708236694,5.4273499472401454e-08,274389.6875,0.5905715823173523,-0.3640727996826172,0.0009952090331353247
51,45478.3515625,0.17477481067180634,1.4299308759291307e-07,274105.96875,0.5902573466300964,-0.36533883213996887,0.0009849999914877117
52,45454.8671875,0.17597544193267822,2.9225608955130156e-07,272687.25,0.5885711312294006,-0.36620187759399414,0.0009958749869838357
53,45420.42578125,0.1780584305524826,5.214603788772365e-07,270288.3125,0.585700511932373,-0.3666195571422577,0.00102545804111287
54,45379.484375,0.18088455498218536,8.549566246074392e-07,267090.75,0.5818660855293274,-0.36654579639434814,0.001035915978718549
55,45336.64453125,0.18430060148239136,1.323207243331126e-06,263291.46875,0.5773065686225891,-0.3659313917160034,0.001008042017929256
